  node   position        T1       T2       T3       T4       T5       T6       T7       T8       T9      T10      T11         h12   q1_2_conv  q2_3_cond  q3_4_conv   q3_4_rad  q4_5_cond  q5_10_conv   q5_6_conv    q5_rad    q6_rad   q10_rad  q6_10_conv  q6_7_cond  q7_8_rad  q7_8_conv  q8_9_cond  q9_10_conv  q9_11_rad  q3_SolAbs  q5_SolAbs  q6_SolAbs  q9_SolAbs    q_HL_ext   q_HL_int  q_HL_corr    diff_HL        p_htf        h_htf        x_htf    T1_evap    rho_htf        v_htf
    62    305.000   219.685  227.331  235.607   60.508   60.046   31.749   31.749   30.383   23.887   25.000   17.000    2379.276    3771.715   3771.715      0.000     62.284     62.284     103.406       0.000   -42.082    11.075    31.007      64.920      6.155     5.344      0.811      6.155     -25.445     36.600   3834.000     83.203     60.000      5.000     210.488     62.284     53.188      9.096   3.6893e+05    377043.76   -9.900e+01    -99.000    896.387      1.63041
    63    310.000   221.478  229.092  237.356   60.784   60.313   31.767   31.767   30.398   23.887   25.000   17.000    2388.373    3770.567   3770.567      0.000     63.433     63.433     104.152       0.000   -42.484    11.262    31.222      65.093      6.169     5.357      0.813      6.169     -25.433     36.602   3834.000     83.203     60.000      5.000     211.636     63.433     54.034      9.398   3.6669e+05    380815.47   -9.900e+01    -99.000    894.757      1.63338
    64    315.000   223.266  230.849  239.101   61.062   60.583   31.786   31.786   30.414   23.888   25.000   17.000    2397.362    3769.406   3769.406      0.000     64.594     64.594     104.905       0.000   -42.892    11.453    31.440      65.269      6.183     5.369      0.814      6.183     -25.422     36.605   3834.000     83.203     60.000      5.000     212.797     64.594     54.892      9.702   3.6445e+05    384586.04   -9.900e+01    -99.000    893.127      1.63636
    65    320.000   225.050  232.602  240.842   61.344   60.856   31.805   31.805   30.430   23.888   25.000   17.000    2406.244    3768.231   3768.231      0.000     65.769     65.769     105.666       0.000   -43.305    11.645    31.660      65.447      6.198     5.382      0.816      6.198     -25.410     36.608   3834.000     83.203     60.000      5.000     213.972     65.769     55.761     10.008   3.6220e+05    388355.45   -9.900e+01    -99.000    891.496      1.63935
    66    325.000   226.828  234.351  242.578   61.628   61.131   31.824   31.823   30.446   23.889   25.000   17.000    2415.020    3767.044   3767.044      0.000     66.956     66.956     106.435       0.000   -43.724    11.840    31.884      65.628      6.212     5.395      0.818      6.212     -25.398     36.611   3834.000     83.203     60.000      5.000     215.159     66.956     56.641     10.315   3.5995e+05    392123.68   -9.900e+01    -99.000    889.864      1.64236
    67    330.000   228.602  236.096  244.311   61.916   61.410   31.843   31.843   30.462   23.889   25.000   17.000    2423.693    3765.843   3765.843      0.000     68.157     68.157     107.211       0.000   -44.148    12.038    32.110      65.811      6.227     5.407      0.820      6.227     -25.386     36.614   3834.000     83.203     60.000      5.000     216.360     68.157     57.534     10.623   3.5770e+05    395890.72   -9.900e+01    -99.000    888.231      1.64538
    68    335.000   230.372  237.837  246.039   62.207   61.692   31.862   31.862   30.478   23.890   25.000   17.000    2432.264    3764.629   3764.629      0.000     69.371     69.371     107.995       0.000   -44.578    12.239    32.340      65.996      6.242     5.421      0.822      6.242     -25.374     36.617   3834.000     83.203     60.000      5.000     217.574     69.371     58.438     10.933   3.5544e+05    399656.56   -9.900e+01    -99.000    886.597      1.64841
    69    340.000   232.137  239.573  247.763   62.501   61.977   31.882   31.882   30.495   23.890   25.000   17.000    2440.735    3763.402   3763.402      0.000     70.598     70.598     108.787       0.000   -45.014    12.442    32.572      66.184      6.257     5.434      0.823      6.257     -25.362     36.619   3834.000     83.203     60.000      5.000     218.801     70.598     59.353     11.245   3.5318e+05    403421.19   -9.900e+01    -99.000    884.962      1.65146
    70    345.000   233.897  241.306  249.484   62.798   62.264   31.902   31.902   30.512   23.891   25.000   17.000    2449.106    3762.161   3762.161      0.000     71.839     71.839     109.587       0.000   -45.455    12.647    32.808      66.374      6.273     5.448      0.825      6.273     -25.350     36.622   3834.000     83.203     60.000      5.000     220.042     71.839     60.281     11.558   3.5092e+05    407184.59   -9.900e+01    -99.000    883.326      1.65452
    71    350.000   235.653  243.034  251.200   63.098   62.555   31.922   31.922   30.529   23.892   25.000   17.000    2457.379    3760.907   3760.907      0.000     73.093     73.093     110.394       0.000   -45.902    12.856    33.047      66.567      6.288     5.461      0.827      6.288     -25.337     36.626   3834.000     83.203     60.000      5.000     221.296     73.093     61.221     11.872   3.4865e+05    410946.76   -9.900e+01    -99.000    881.688      1.65759
    72    355.000   237.404  244.758  252.912   63.401   62.849   31.943   31.943   30.546   23.892   25.000   17.000    2465.557    3759.639   3759.639      0.000     74.361     74.361     111.209       0.000   -46.355    13.067    33.289      66.762      6.304     5.475      0.829      6.304     -25.324     36.629   3834.000     83.203     60.000      5.000     222.564     74.361     62.173     12.188   3.4638e+05    414707.66   -9.900e+01    -99.000    880.050      1.66068
    73    360.000   239.151  246.479  254.620   63.707   63.146   31.964   31.964   30.563   23.893   25.000   17.000    2473.639    3758.357   3758.357      0.000     75.642     75.642     112.031       0.000   -46.814    13.280    33.534      66.960      6.320     5.489      0.831      6.320     -25.311     36.632   3834.000     83.203     60.000      5.000     223.845     75.642     63.138     12.505   3.4410e+05    418467.30   -9.900e+01    -99.000    878.410      1.66378
    74    365.000   240.893  248.195  256.324   64.017   63.446   31.985   31.985   30.581   23.893   25.000   17.000    2481.628    3757.062   3757.062      0.000     76.937     76.937     112.861       0.000   -47.279    13.497    33.782      67.160      6.336     5.503      0.833      6.336     -25.298     36.635   3834.000     83.203     60.000      5.000     225.141     76.937     64.114     12.823   3.4182e+05    422225.66   -9.900e+01    -99.000    876.768      1.66689
    75    370.000   242.631  249.907  258.024   64.329   63.749   32.006   32.006   30.599   23.894   25.000   17.000    2489.525    3755.753   3755.753      0.000     78.246     78.246     113.700       0.000   -47.750    13.716    34.034      67.363      6.353     5.518      0.835      6.353     -25.285     36.638   3834.000     83.203     60.000      5.000     226.450     78.246     65.103     13.143   3.3954e+05    425982.72   -9.900e+01    -99.000    875.126      1.67002
    76    375.000   244.364  251.615  259.720   64.645   64.055   32.028   32.028   30.617   23.894   25.000   17.000    2497.331    3754.431   3754.431      0.000     79.569     79.569     114.546       0.000   -48.227    13.938    34.289      67.569      6.370     5.532      0.837      6.370     -25.272     36.641   3834.000     83.203     60.000      5.000     227.772     79.569     66.105     13.464   3.3725e+05    429738.47   -9.900e+01    -99.000    873.482      1.67316
    77    380.000   246.093  253.319  261.412   64.964   64.364   32.050   32.050   30.636   23.895   25.000   17.000    2505.047    3753.094   3753.094      0.000     80.906     80.906     115.399       0.000   -48.710    14.163    34.547      67.777      6.386     5.547      0.839      6.386     -25.258     36.645   3834.000     83.203     60.000      5.000     229.109     80.906     67.120     13.786   3.3496e+05    433492.91   -9.900e+01    -99.000    871.836      1.67632
    78    385.000   247.818  255.019  263.100   65.287   64.676   32.072   32.072   30.654   23.896   25.000   17.000    2512.676    3751.743   3751.743      0.000     82.257     82.257     116.261       0.000   -49.199    14.391    34.808      67.988      6.403     5.562      0.841      6.403     -25.244     36.648   3834.000     83.203     60.000      5.000     230.460     82.257     68.147     14.110   3.3267e+05    437246.00   -9.900e+01    -99.000    870.188      1.67950
    79    390.000   249.538  256.715  264.784   65.612   64.992   32.094   32.094   30.673   23.896   25.000   17.000    2520.218    3750.378   3750.378      0.000     83.622     83.622     117.130       0.000   -49.695    14.622    35.073      68.201      6.421     5.577      0.843      6.421     -25.230     36.651   3834.000     83.203     60.000      5.000     231.825     83.622     69.187     14.435   3.3037e+05    440997.74   -9.900e+01    -99.000    868.540      1.68268
    80    395.000   251.254  258.407  266.464   65.941   65.310   32.117   32.117   30.692   23.897   25.000   17.000    2527.674    3748.999   3748.999      0.000     85.001     85.001     118.007       0.000   -50.197    14.855    35.341      68.417      6.438     5.593      0.845      6.438     -25.216     36.655   3834.000     83.203     60.000      5.000     233.204     85.001     70.240     14.761   3.2807e+05    444748.12   -9.900e+01    -99.000    866.889      1.68589
    81    400.000   252.965  260.095  268.140   66.273   65.632   32.140   32.140   30.712   23.897   25.000   17.000    2535.046    3747.606   3747.606      0.000     86.394     86.394     118.893       0.000   -50.705    15.092    35.613      68.636      6.456     5.608      0.848      6.456     -25.202     36.658   3834.000     83.203     60.000      5.000     234.597     86.394     71.306     15.088   3.2576e+05    448497.12   -9.900e+01    -99.000    865.237      1.68911
    82    405.000   254.673  261.779  269.812   66.608   65.957   32.163   32.163   30.731   23.898   25.000   17.000    2542.335    3746.198   3746.198      0.000     87.802     87.802     119.785       0.000   -51.219    15.331    35.888      68.857      6.474     5.624      0.850      6.474     -25.188     36.661   3834.000     83.203     60.000      5.000     236.005     87.802     72.385     15.417   3.2345e+05    452244.72   -9.900e+01    -99.000    863.582      1.69234
    83    410.000   256.376  263.459  271.480   66.947   66.285   32.187   32.187   30.751   23.899   25.000   17.000    2549.543    3744.776   3744.776      0.000     89.224     89.224     120.686       0.000   -51.741    15.574    36.167      69.082      6.492     5.640      0.852      6.492     -25.173     36.665   3834.000     83.203     60.000      5.000     237.427     89.224     73.477     15.746   3.2113e+05    455990.92   -9.900e+01    -99.000    861.926      1.69559
    84    415.000   258.074  265.136  273.144   67.289   66.616   32.211   32.211   30.771   23.899   25.000   17.000    2556.670    3743.339   3743.339      0.000     90.660     90.660     121.595       0.000   -52.268    15.820    36.449      69.309      6.511     5.656      0.854      6.511     -25.158     36.669   3834.000     83.203     60.000      5.000     238.863     90.660     74.583     16.077   3.1882e+05    459735.70   -9.900e+01    -99.000    860.269      1.69886
    85    420.000   259.769  266.808  274.805   67.634   66.950   32.235   32.235   30.792   23.900   25.000   17.000    2563.717    3741.888   3741.888      0.000     92.111     92.111     122.512       0.000   -52.803    16.068    36.735      69.539      6.529     5.673      0.857      6.529     -25.143     36.672   3834.000     83.203     60.000      5.000     240.314     92.111     75.702     16.409   3.1649e+05    463479.04   -9.900e+01    -99.000    858.609      1.70215
    86    425.000   261.459  268.476  276.461   67.982   67.288   32.260   32.260   30.812   23.901   25.000   17.000    2570.687    3740.423   3740.423      0.000     93.577     93.577     123.436       0.000   -53.344    16.320    37.024      69.772      6.548     5.689      0.859      6.548     -25.128     36.676   3834.000     83.203     60.000      5.000     241.780     93.577     76.835     16.742   3.1417e+05    467220.93   -9.900e+01    -99.000    856.947      1.70545
    87    430.000   263.145  270.141  278.114   68.334   67.629   32.285   32.284   30.833   23.901   25.000   17.000    2577.580    3738.943   3738.943      0.000     95.057     95.057     124.368       0.000   -53.892    16.575    37.317      70.008      6.567     5.706      0.861      6.567     -25.112     36.680   3834.000     83.203     60.000      5.000     243.260     95.057     77.981     17.076   3.1183e+05    470961.35   -9.900e+01    -99.000    855.284      1.70876
    88    435.000   264.827  271.801  279.763   68.689   67.973   32.310   32.309   30.854   23.902   25.000   17.000    2584.397    3737.448   3737.448      0.000     96.552     96.552     125.309       0.000   -54.447    16.833    37.614      70.246      6.587     5.723      0.863      6.587     -25.097     36.683   3834.000     83.203     60.000      5.000     244.755     96.552     79.141     17.411   3.0950e+05    474700.29   -9.900e+01    -99.000    853.618      1.71210
    89    440.000   266.504  273.458  281.407   69.048   68.320   32.335   32.335   30.876   23.903   25.000   17.000    2591.139    3735.938   3735.938      0.000     98.062     98.062     126.257       0.000   -55.008    17.094    37.914      70.488      6.606     5.740      0.866      6.606     -25.081     36.687   3834.000     83.203     60.000      5.000     246.265     98.062     80.315     17.747   3.0716e+05    478437.74   -9.900e+01    -99.000    851.950      1.71545
    90    445.000   268.178  275.111  283.048   69.409   68.670   32.361   32.361   30.897   23.903   25.000   17.000    2597.808    3734.413   3734.413      0.000     99.587     99.587     127.213       0.000   -55.577    17.359    38.218      70.733      6.626     5.758      0.868      6.626     -25.065     36.691   3834.000     83.203     60.000      5.000     247.790     99.587     81.503     18.084   3.0482e+05    482173.68   -9.900e+01    -99.000    850.280      1.71882
    91    450.000   269.847  276.760  284.686   69.775   69.024   32.387   32.387   30.919   23.904   25.000   17.000    2604.405    3732.873   3732.873      0.000    101.126    101.126     128.177       0.000   -56.153    17.626    38.526      70.980      6.646     5.775      0.871      6.646     -25.049     36.695   3834.000     83.203     60.000      5.000     249.330    101.126     82.704     18.422   3.0247e+05    485908.09   -9.900e+01    -99.000    848.608      1.72221
    92    455.000   271.513  278.405  286.319   70.143   69.381   32.413   32.413   30.941   23.905   25.000   17.000    2610.930    3731.319   3731.319      0.000    102.681    102.681     129.149       0.000   -56.736    17.897    38.838      71.231      6.666     5.793      0.873      6.666     -25.032     36.699   3834.000     83.203     60.000      5.000     250.884    102.681     83.920     18.762   3.0012e+05    489640.96   -9.900e+01    -99.000    846.934      1.72561
    93    460.000   273.174  280.046  287.948   70.515   69.741   32.440   32.440   30.964   23.906   25.000   17.000    2617.385    3729.749   3729.749      0.000    104.251    104.251     130.129       0.000   -57.326    18.172    39.154      71.484      6.687     5.811      0.876      6.687     -25.016     36.703   3834.000     83.203     60.000      5.000     252.454    104.251     85.149     19.102   2.9776e+05    493372.28   -9.900e+01    -99.000    845.257      1.72903
    94    465.000   274.831  281.684  289.574   70.890   70.105   32.467   32.467   30.987   23.906   25.000   17.000    2623.771    3728.164   3728.164      0.000    105.836    105.836     131.116       0.000   -57.923    18.449    39.474      71.741      6.708     5.830      0.878      6.708     -24.999     36.707   3834.000     83.203     60.000      5.000     254.039    105.836     86.393     19.443   2.9540e+05    497102.03   -9.900e+01    -99.000    843.579      1.73247
    95    470.000   276.484  283.318  291.196   71.269   70.472   32.495   32.494   31.010   23.907   25.000   17.000    2630.090    3726.564   3726.564      0.000    107.436    107.436     132.112       0.000   -58.527    18.730    39.797      72.001      6.729     5.848      0.881      6.729     -24.982     36.711   3834.000     83.203     60.000      5.000     255.639    107.436     87.651     19.785   2.9303e+05    500830.19   -9.900e+01    -99.000    841.898      1.73593
    96    475.000   278.133  284.948  292.814   71.651   70.842   32.522   32.522   31.033   23.908   25.000   17.000    2636.341    3724.948   3724.948      0.000    109.052    109.052     133.115       0.000   -59.139    19.015    40.125      72.264      6.750     5.867      0.883      6.750     -24.965     36.715   3834.000     83.203     60.000      5.000     257.255    109.052     88.924     20.128   2.9066e+05    504556.76   -9.900e+01    -99.000    840.214      1.73941
    97    480.000   279.778  286.574  294.429   72.037   71.215   32.550   32.550   31.057   23.909   25.000   17.000    2642.526    3723.317   3723.317      0.000    110.682    110.682     134.127       0.000   -59.759    19.302    40.456      72.530      6.772     5.886      0.886      6.772     -24.947     36.719   3834.000     83.203     60.000      5.000     258.886    110.682     90.211     20.472   2.8829e+05    508281.71   -9.900e+01    -99.000    838.529      1.74291
    98    485.000   281.419  288.196  296.039   72.426   71.592   32.579   32.578   31.081   23.909   25.000   17.000    2648.647    3721.671   3721.671      0.000    112.329    112.329     135.146       0.000   -60.386    19.594    40.792      72.800      6.794     5.905      0.889      6.794     -24.930     36.724   3834.000     83.203     60.000      5.000     260.532    112.329     91.512     20.817   2.8591e+05    512005.02   -9.900e+01    -99.000    836.840      1.74642
    99    490.000   283.056  289.815  297.646   72.818   71.972   32.607   32.607   31.105   23.910   25.000   17.000    2654.703    3720.009   3720.009      0.000    113.990    113.990     136.173       0.000   -61.020    19.888    41.132      73.072      6.816     5.925      0.891      6.816     -24.912     36.728   3834.000     83.203     60.000      5.000     262.194    113.990     92.828     21.162   2.8353e+05    515726.69   -9.900e+01    -99.000    835.150      1.74996
   100    495.000   284.690  291.430  299.249   73.214   72.356   32.637   32.636   31.129   23.911   25.000   17.000    2660.697    3718.332   3718.332      0.000    115.668    115.668     137.208       0.000   -61.662    20.187    41.476      73.348      6.839     5.945      0.894      6.839     -24.894     36.732   3834.000     83.203     60.000      5.000     263.871    115.668     94.159     21.509   2.8114e+05    519446.70   -9.900e+01    -99.000    833.457      1.75351
   101    500.000   286.319  293.041  300.849   73.613   72.742   32.666   32.666   31.154   23.912   25.000   17.000    2666.629    3716.639   3716.639      0.000    117.361    117.361     138.251       0.000   -62.312    20.489    41.824      73.627      6.861     5.964      0.897      6.861     -24.875     36.737   3834.000     83.203     60.000      5.000     265.564    117.361     95.504     21.857   2.7875e+05    523165.04   -9.900e+01    -99.000    831.761      1.75709
