  node   position        T1       T2       T3       T4       T5       T6       T7       T8       T9      T10      T11         h12   q1_2_conv  q2_3_cond  q3_4_conv   q3_4_rad  q4_5_cond  q5_10_conv   q5_6_conv    q5_rad    q6_rad   q10_rad  q6_10_conv  q6_7_cond  q7_8_rad  q7_8_conv  q8_9_cond  q9_10_conv  q9_11_rad  q3_SolAbs  q5_SolAbs  q6_SolAbs  q9_SolAbs    q_HL_ext   q_HL_int  q_HL_corr    diff_HL        p_htf        h_htf        x_htf    T1_evap    rho_htf        v_htf
    15     70.000   129.482  139.725  148.619   50.670   50.511   31.125   31.125   29.860   23.870   25.000   17.000    1794.983    3812.503   3812.503      0.000     21.497     21.497      76.373       0.000   -28.327     4.653    23.674      58.978      5.675     4.924      0.752      5.675     -25.831     36.507   3834.000     83.203     60.000      5.000     169.700     21.497     24.117     -2.619   4.7068e+05    198698.63   -9.900e+01    -99.000    973.643      1.50104
    16     75.000   131.536  141.685  150.565   50.822   50.658   31.134   31.134   29.867   23.870   25.000   17.000    1811.405    3811.876   3811.876      0.000     22.124     22.124      76.797       0.000   -28.530     4.748    23.782      59.066      5.682     4.930      0.753      5.682     -25.826     36.508   3834.000     83.203     60.000      5.000     170.327     22.124     24.560     -2.436   4.6857e+05    202511.13   -9.900e+01    -99.000    971.948      1.50366
    17     80.000   133.584  143.641  152.507   50.976   50.807   31.144   31.144   29.875   23.870   25.000   17.000    1827.616    3811.240   3811.240      0.000     22.760     22.760      77.226       0.000   -28.737     4.845    23.892      59.155      5.690     4.936      0.754      5.690     -25.820     36.509   3834.000     83.203     60.000      5.000     170.963     22.760     25.009     -2.249   4.6646e+05    206323.01   -9.900e+01    -99.000    970.257      1.50628
    18     85.000   135.625  145.593  154.446   51.132   50.959   31.153   31.153   29.883   23.871   25.000   17.000    1843.618    3810.594   3810.594      0.000     23.405     23.405      77.662       0.000   -28.947     4.943    24.004      59.246      5.697     4.943      0.754      5.697     -25.814     36.511   3834.000     83.203     60.000      5.000     171.609     23.405     25.464     -2.058   4.6435e+05    210134.25   -9.900e+01    -99.000    968.570      1.50890
    19     90.000   137.660  147.542  156.380   51.291   51.113   31.163   31.163   29.891   23.871   25.000   17.000    1859.415    3809.939   3809.939      0.000     24.060     24.060      78.103       0.000   -29.160     5.043    24.118      59.338      5.704     4.949      0.755      5.704     -25.808     36.512   3834.000     83.203     60.000      5.000     172.264     24.060     25.925     -1.864   4.6224e+05    213944.84   -9.900e+01    -99.000    966.887      1.51153
    20     95.000   139.688  149.486  158.311   51.452   51.269   31.173   31.173   29.899   23.871   25.000   17.000    1875.009    3809.275   3809.275      0.000     24.725     24.725      78.551       0.000   -29.377     5.144    24.233      59.432      5.712     4.956      0.756      5.712     -25.802     36.514   3834.000     83.203     60.000      5.000     172.928     24.725     26.392     -1.667   4.6013e+05    217754.78   -9.900e+01    -99.000    965.208      1.51416
    21    100.000   141.710  151.427  160.237   51.615   51.427   31.183   31.183   29.908   23.871   25.000   17.000    1890.402    3808.601   3808.601      0.000     25.399     25.399      79.005       0.000   -29.597     5.247    24.351      59.527      5.720     4.962      0.757      5.720     -25.796     36.515   3834.000     83.203     60.000      5.000     173.602     25.399     26.865     -1.466   4.5801e+05    221564.06   -9.900e+01    -99.000    963.533      1.51679
    22    105.000   143.726  153.363  162.160   51.781   51.587   31.193   31.193   29.916   23.872   25.000   17.000    1905.598    3807.917   3807.917      0.000     26.083     26.083      79.465       0.000   -29.821     5.351    24.470      59.624      5.727     4.969      0.758      5.727     -25.789     36.517   3834.000     83.203     60.000      5.000     174.286     26.083     27.345     -1.262   4.5589e+05    225372.66   -9.900e+01    -99.000    961.860      1.51943
    23    110.000   145.735  155.296  164.079   51.949   51.750   31.203   31.203   29.925   23.872   25.000   17.000    1920.598    3807.223   3807.223      0.000     26.777     26.777      79.932       0.000   -30.048     5.458    24.591      59.722      5.735     4.976      0.759      5.735     -25.783     36.518   3834.000     83.203     60.000      5.000     174.980     26.777     27.832     -1.055   4.5377e+05    229180.57   -9.900e+01    -99.000    960.191      1.52207
    24    115.000   147.738  157.224  165.993   52.119   51.915   31.214   31.214   29.934   23.872   25.000   17.000    1935.407    3806.519   3806.519      0.000     27.481     27.481      80.405       0.000   -30.279     5.565    24.714      59.822      5.743     4.983      0.760      5.743     -25.776     36.520   3834.000     83.203     60.000      5.000     175.684     27.481     28.325     -0.844   4.5165e+05    232987.80   -9.900e+01    -99.000    958.525      1.52472
    25    120.000   149.736  159.148  167.904   52.292   52.083   31.224   31.224   29.943   23.873   25.000   17.000    1950.026    3805.806   3805.806      0.000     28.194     28.194      80.884       0.000   -30.513     5.675    24.838      59.923      5.752     4.990      0.761      5.752     -25.770     36.521   3834.000     83.203     60.000      5.000     176.397     28.194     28.825     -0.631   4.4952e+05    236794.32   -9.900e+01    -99.000    956.862      1.52736
    26    125.000   151.727  161.068  169.810   52.467   52.252   31.235   31.235   29.952   23.873   25.000   17.000    1964.458    3805.082   3805.082      0.000     28.918     28.918      81.370       0.000   -30.751     5.786    24.965      60.026      5.760     4.998      0.762      5.760     -25.763     36.523   3834.000     83.203     60.000      5.000     177.121     28.918     29.331     -0.414   4.4740e+05    240600.12   -9.900e+01    -99.000    955.202      1.53002
    27    130.000   153.711  162.984  171.713   52.645   52.425   31.246   31.246   29.961   23.873   25.000   17.000    1978.706    3804.348   3804.348      0.000     29.651     29.651      81.862       0.000   -30.993     5.899    25.094      60.131      5.768     5.005      0.763      5.768     -25.756     36.525   3834.000     83.203     60.000      5.000     177.854     29.651     29.845     -0.194   4.4527e+05    244405.20   -9.900e+01    -99.000    953.545      1.53268
    28    135.000   155.690  164.896  173.611   52.825   52.599   31.257   31.257   29.970   23.874   25.000   17.000    1992.772    3803.605   3803.605      0.000     30.395     30.395      82.360       0.000   -31.238     6.014    25.225      60.237      5.777     5.013      0.764      5.777     -25.749     36.526   3834.000     83.203     60.000      5.000     178.598     30.395     30.366      0.029   4.4314e+05    248209.55   -9.900e+01    -99.000    951.890      1.53534
    29    140.000   157.663  166.803  175.505   53.007   52.776   31.269   31.268   29.980   23.874   25.000   17.000    2006.659    3802.851   3802.851      0.000     31.149     31.149      82.865       0.000   -31.487     6.130    25.357      60.344      5.786     5.020      0.765      5.786     -25.742     36.528   3834.000     83.203     60.000      5.000     179.352     31.149     30.894      0.255   4.4100e+05    252013.16   -9.900e+01    -99.000    950.238      1.53801
    30    145.000   159.630  168.706  177.395   53.192   52.955   31.280   31.280   29.989   23.874   25.000   17.000    2020.369    3802.086   3802.086      0.000     31.914     31.914      83.377       0.000   -31.740     6.248    25.492      60.454      5.794     5.028      0.766      5.794     -25.735     36.530   3834.000     83.203     60.000      5.000     180.117     31.914     31.430      0.484   4.3886e+05    255816.01   -9.900e+01    -99.000    948.588      1.54069
    31    150.000   161.592  170.605  179.280   53.379   53.136   31.292   31.292   29.999   23.874   25.000   17.000    2033.905    3801.311   3801.311      0.000     32.688     32.688      83.895       0.000   -31.996     6.368    25.629      60.565      5.803     5.036      0.768      5.803     -25.728     36.531   3834.000     83.203     60.000      5.000     180.891     32.688     31.973      0.716   4.3672e+05    259618.09   -9.900e+01    -99.000    946.940      1.54337
    32    155.000   163.547  172.500  181.161   53.569   53.320   31.304   31.303   30.009   23.875   25.000   17.000    2047.269    3800.526   3800.526      0.000     33.474     33.474      84.420       0.000   -32.257     6.490    25.767      60.677      5.812     5.044      0.769      5.812     -25.721     36.533   3834.000     83.203     60.000      5.000     181.677     33.474     32.523      0.950   4.3458e+05    263419.41   -9.900e+01    -99.000    945.294      1.54606
    33    160.000   165.496  174.390  183.038   53.761   53.507   31.316   31.315   30.019   23.875   25.000   17.000    2060.463    3799.730   3799.730      0.000     34.269     34.269      84.951       0.000   -32.521     6.613    25.908      60.791      5.822     5.052      0.770      5.822     -25.713     36.535   3834.000     83.203     60.000      5.000     182.473     34.269     33.082      1.187   4.3244e+05    267219.93   -9.900e+01    -99.000    943.650      1.54875
    34    165.000   167.440  176.276  184.911   53.956   53.696   31.328   31.328   30.029   23.875   25.000   17.000    2073.491    3798.924   3798.924      0.000     35.076     35.076      85.489       0.000   -32.790     6.738    26.051      60.907      5.831     5.060      0.771      5.831     -25.706     36.537   3834.000     83.203     60.000      5.000     183.279     35.076     33.648      1.428   4.3029e+05    271019.66   -9.900e+01    -99.000    942.009      1.55145
    35    170.000   169.378  178.158  186.780   54.154   53.887   31.340   31.340   30.040   23.876   25.000   17.000    2086.354    3798.107   3798.107      0.000     35.893     35.893      86.034       0.000   -33.062     6.866    26.196      61.025      5.840     5.068      0.772      5.840     -25.698     36.539   3834.000     83.203     60.000      5.000     184.096     35.893     34.223      1.670   4.2814e+05    274818.59   -9.900e+01    -99.000    940.368      1.55415
    36    175.000   171.311  180.035  188.644   54.354   54.081   31.353   31.352   30.050   23.876   25.000   17.000    2099.055    3797.279   3797.279      0.000     36.721     36.721      86.586       0.000   -33.338     6.995    26.344      61.144      5.850     5.077      0.773      5.850     -25.690     36.541   3834.000     83.203     60.000      5.000     184.924     36.721     34.805      1.916   4.2598e+05    278616.69   -9.900e+01    -99.000    938.730      1.55687
    37    180.000   173.237  181.908  190.504   54.556   54.277   31.365   31.365   30.061   23.876   25.000   17.000    2111.596    3796.440   3796.440      0.000     37.560     37.560      87.144       0.000   -33.618     7.126    26.493      61.266      5.860     5.085      0.775      5.860     -25.683     36.542   3834.000     83.203     60.000      5.000     185.763     37.560     35.396      2.164   4.2383e+05    282413.97   -9.900e+01    -99.000    937.093      1.55959
    38    185.000   175.159  183.777  192.359   54.761   54.476   31.378   31.378   30.072   23.877   25.000   17.000    2123.979    3795.590   3795.590      0.000     38.409     38.409      87.709       0.000   -33.903     7.258    26.645      61.389      5.870     5.094      0.776      5.870     -25.675     36.544   3834.000     83.203     60.000      5.000     186.612     38.409     35.995      2.415   4.2167e+05    286210.41   -9.900e+01    -99.000    935.458      1.56231
    39    190.000   177.074  185.642  194.210   54.969   54.678   31.391   31.391   30.083   23.877   25.000   17.000    2136.207    3794.730   3794.730      0.000     39.270     39.270      88.282       0.000   -34.192     7.393    26.798      61.513      5.880     5.103      0.777      5.880     -25.666     36.546   3834.000     83.203     60.000      5.000     187.473     39.270     36.602      2.668   4.1951e+05    290006.00   -9.900e+01    -99.000    933.823      1.56505
    40    195.000   178.984  187.502  196.057   55.179   54.882   31.405   31.404   30.094   23.878   25.000   17.000    2148.282    3793.858   3793.858      0.000     40.142     40.142      88.861       0.000   -34.484     7.530    26.954      61.640      5.890     5.112      0.778      5.890     -25.658     36.548   3834.000     83.203     60.000      5.000     188.345     40.142     37.218      2.923   4.1734e+05    293800.73   -9.900e+01    -99.000    932.190      1.56779
    41    200.000   180.889  189.357  197.900   55.393   55.088   31.418   31.418   30.105   23.878   25.000   17.000    2160.205    3792.975   3792.975      0.000     41.025     41.025      89.446       0.000   -34.781     7.669    27.113      61.768      5.900     5.121      0.780      5.900     -25.650     36.550   3834.000     83.203     60.000      5.000     189.228     41.025     37.843      3.181   4.1517e+05    297594.59   -9.900e+01    -99.000    930.559      1.57054
    42    205.000   182.788  191.209  199.738   55.608   55.297   31.432   31.432   30.117   23.878   25.000   17.000    2171.980    3792.081   3792.081      0.000     41.919     41.919      90.039       0.000   -35.083     7.809    27.273      61.898      5.911     5.130      0.781      5.911     -25.641     36.552   3834.000     83.203     60.000      5.000     190.122     41.919     38.477      3.442   4.1300e+05    301387.56   -9.900e+01    -99.000    928.928      1.57330
    43    210.000   184.682  193.056  201.572   55.827   55.509   31.446   31.445   30.128   23.879   25.000   17.000    2183.608    3791.175   3791.175      0.000     42.824     42.824      90.639       0.000   -35.388     7.952    27.436      62.030      5.922     5.139      0.782      5.922     -25.633     36.554   3834.000     83.203     60.000      5.000     191.028     42.824     39.120      3.705   4.1083e+05    305179.65   -9.900e+01    -99.000    927.298      1.57606
    44    215.000   186.571  194.898  203.402   56.048   55.723   31.460   31.460   30.140   23.879   25.000   17.000    2195.091    3790.258   3790.258      0.000     43.741     43.741      91.246       0.000   -35.698     8.097    27.602      62.164      5.932     5.149      0.784      5.932     -25.624     36.556   3834.000     83.203     60.000      5.000     191.944     43.741     39.771      3.970   4.0865e+05    308970.82   -9.900e+01    -99.000    925.669      1.57883
