        node           T1           T3          T10     q_HL_int
  107.000000   293.877000   299.702000    30.000000   361.217000
  108.000000   294.100000   299.921000    30.000000   361.593000
  109.000000   294.324000   300.139000    30.000000   361.970000
  110.000000   294.547000   300.357000    30.000000   362.604000
  111.000000   294.769000   300.575000    30.000000   362.981000
  112.000000   294.992000   300.794000    30.000000   363.358000
  113.000000   295.215000   301.012000    30.000000   363.736000
  114.000000   295.438000   301.230000    30.000000   364.113000
  115.000000   295.661000   301.448000    30.000000   364.749000
  116.000000   295.884000   301.666000    30.000000   365.127000
  117.000000   296.106000   301.884000    30.000000   365.505000
  118.000000   296.329000   302.102000    30.000000   365.884000
  119.000000   296.552000   302.320000    30.000000   366.262000
  120.000000   296.774000   302.538000    30.000000   366.641000
  121.000000   296.997000   302.755000    30.000000   367.278000
  122.000000   297.219000   302.973000    30.000000   367.659000
  123.000000   297.442000   303.191000    30.000000   368.038000
  124.000000   297.664000   303.409000    30.000000   368.418000
  125.000000   297.887000   303.627000    30.000000   368.798000
  126.000000   298.109000   303.845000    30.000000   369.178000
  127.000000   298.331000   304.062000    30.000000   369.817000
  128.000000   298.554000   304.280000    30.000000   370.198000
  129.000000   298.776000   304.497000    30.000000   370.579000
  130.000000   298.998000   304.715000    30.000000   370.960000
  131.000000   299.220000   304.933000    30.000000   371.341000
  132.000000   299.442000   305.150000    30.000000   371.981000
  133.000000   299.664000   305.367000    30.000000   372.363000
  134.000000   299.886000   305.585000    30.000000   372.745000
  135.000000   300.108000   305.802000    30.000000   373.127000
  136.000000   300.330000   306.020000    30.000000   373.509000
  137.000000   300.552000   306.237000    30.000000   373.892000
  138.000000   300.774000   306.454000    30.000000   374.533000
  139.000000   300.996000   306.671000    30.000000   374.917000
  140.000000   301.218000   306.888000    30.000000   375.300000
  141.000000   301.439000   307.106000    30.000000   375.684000
  142.000000   301.661000   307.323000    30.000000   376.067000
  143.000000   301.883000   307.540000    30.000000   376.451000
  144.000000   302.104000   307.757000    30.000000   377.094000
  145.000000   302.326000   307.974000    30.000000   377.479000
  146.000000   302.547000   308.191000    30.000000   377.864000
  147.000000   302.769000   308.408000    30.000000   378.249000
  148.000000   302.990000   308.625000    30.000000   378.634000
  149.000000   303.212000   308.842000    30.000000   379.020000
  150.000000   303.433000   309.058000    30.000000   379.664000
  151.000000   303.654000   309.275000    30.000000   380.050000
  152.000000   303.876000   309.492000    30.000000   380.436000
  153.000000   304.097000   309.709000    30.000000   380.823000
  154.000000   304.318000   309.926000    30.000000   381.209000
  155.000000   304.539000   310.142000    30.000000   381.855000
  156.000000   304.760000   310.359000    30.000000   382.242000
  157.000000   304.981000   310.575000    30.000000   382.629000
  158.000000   305.202000   310.792000    30.000000   383.017000
  159.000000   305.423000   311.009000    30.000000   383.404000
  160.000000   305.644000   311.225000    30.000000   383.792000
  161.000000   305.865000   311.441000    30.000000   384.439000
  162.000000   306.086000   311.658000    30.000000   384.828000
  163.000000   306.307000   311.874000    30.000000   385.216000
  164.000000   306.528000   312.091000    30.000000   385.605000
  165.000000   306.748000   312.307000    30.000000   385.994000
  166.000000   306.969000   312.523000    30.000000   386.383000
  167.000000   307.190000   312.739000    30.000000   387.032000
  168.000000   307.410000   312.955000    30.000000   387.422000
  169.000000   307.631000   313.172000    30.000000   387.812000
  170.000000   307.851000   313.388000    30.000000   388.202000
  171.000000   308.072000   313.604000    30.000000   388.593000
  172.000000   308.292000   313.820000    30.000000   388.983000
  173.000000   308.513000   314.036000    30.000000   389.633000
  174.000000   308.733000   314.252000    30.000000   390.026000
  175.000000   308.953000   314.468000    30.000000   390.417000
  176.000000   309.174000   314.684000    30.000000   390.809000
  177.000000   309.394000   314.900000    30.000000   391.200000
  178.000000   309.614000   315.115000    30.000000   391.852000
  179.000000   309.834000   315.331000    30.000000   392.244000
  180.000000   310.054000   315.547000    30.000000   392.637000
  181.000000   310.274000   315.763000    30.000000   393.029000
  182.000000   310.494000   315.979000    30.000000   393.422000
  183.000000   310.714000   316.194000    30.000000   393.816000
  184.000000   310.934000   316.409000    30.000000   394.469000
  185.000000   311.154000   316.625000    30.000000   394.862000
  186.000000   311.374000   316.841000    30.000000   395.256000
  187.000000   311.594000   317.056000    30.000000   395.650000
  188.000000   311.813000   317.272000    30.000000   396.045000
  189.000000   312.033000   317.487000    30.000000   396.439000
  190.000000   312.253000   317.702000    30.000000   397.094000
  191.000000   312.472000   317.918000    30.000000   397.489000
  192.000000   312.692000   318.133000    30.000000   397.884000
  193.000000   312.912000   318.349000    30.000000   398.280000
  194.000000   313.131000   318.564000    30.000000   398.676000
  195.000000   313.351000   318.779000    30.000000   399.072000
  196.000000   313.570000   318.994000    30.000000   399.728000
  197.000000   313.789000   319.209000    30.000000   400.124000
  198.000000   314.009000   319.424000    30.000000   400.521000
  199.000000   314.228000   319.640000    30.000000   400.919000
  200.000000   314.447000   319.855000    30.000000   401.317000
  201.000000   314.666000   320.069000    30.000000   401.974000
  202.000000   314.886000   320.284000    30.000000   402.371000
  203.000000   315.105000   320.499000    30.000000   402.769000
  204.000000   315.324000   320.714000    30.000000   403.168000
  205.000000   315.543000   320.929000    30.000000   403.566000
  206.000000   315.762000   321.144000    30.000000   403.965000
  207.000000   315.981000   321.358000    30.000000   404.623000
  208.000000   316.200000   321.573000    30.000000   405.023000
  209.000000   316.419000   321.788000    30.000000   405.422000
  210.000000   316.637000   322.003000    30.000000   405.822000
  211.000000   316.856000   322.218000    30.000000   406.222000
  212.000000   317.075000   322.432000    30.000000   406.622000
  213.000000   317.294000   322.646000    30.000000   407.282000
  214.000000   317.512000   322.861000    30.000000   407.683000
  215.000000   317.731000   323.075000    30.000000   408.083000
  216.000000   317.950000   323.290000    30.000000   408.484000
  217.000000   318.168000   323.504000    30.000000   408.886000
  218.000000   318.387000   323.719000    30.000000   409.287000
  219.000000   318.605000   323.933000    30.000000   409.949000
  220.000000   318.823000   324.147000    30.000000   410.351000
  221.000000   319.042000   324.362000    30.000000   410.753000
  222.000000   319.260000   324.576000    30.000000   411.156000
  223.000000   319.478000   324.790000    30.000000   411.559000
  224.000000   319.697000   325.004000    30.000000   411.963000
  225.000000   319.915000   325.218000    30.000000   412.626000
  226.000000   320.133000   325.432000    30.000000   413.030000
  227.000000   320.351000   325.646000    30.000000   413.433000
  228.000000   320.569000   325.860000    30.000000   413.837000
  229.000000   320.787000   326.074000    30.000000   414.242000
  230.000000   321.005000   326.288000    30.000000   414.646000
  231.000000   321.223000   326.502000    30.000000   415.311000
  232.000000   321.441000   326.716000    30.000000   415.716000
  233.000000   321.659000   326.930000    30.000000   416.121000
  234.000000   321.876000   327.144000    30.000000   416.526000
  235.000000   322.094000   327.357000    30.000000   416.932000
  236.000000   322.312000   327.571000    30.000000   417.338000
  237.000000   322.530000   327.784000    30.000000   418.005000
  238.000000   322.747000   327.998000    30.000000   418.411000
  239.000000   322.965000   328.212000    30.000000   418.818000
  240.000000   323.182000   328.425000    30.000000   419.224000
