         r_int      r_ext      T_int      T_ext      nCells      qConv_int      qConv_ext
 case91    0.03500    0.09500      550.0      450.0       60.0  -104.734   106.643
 case92    0.03500    0.09500      550.0      450.0       75.0   -15.659   128.223
 case93    0.03500    0.09500      550.0      400.0       30.0  -199.719   201.735
 case94    0.03500    0.09500      550.0      400.0       45.0  -187.007   187.948
 case95    0.03500    0.09500      550.0      400.0       60.0  -176.924   179.112
 case96    0.03500    0.09500      550.0      400.0       75.0  -136.753   185.009
 case97    0.03500    0.09500      450.0      258.0       30.0  -287.272   291.865
 case98    0.03500    0.09500      450.0      258.0       45.0  -272.558   274.356
 case99    0.03500    0.09500      450.0      258.0       60.0  -259.114   259.481
 case100    0.03500    0.09500      450.0      258.0       75.0  -256.847   246.670
 case101    0.03500    0.09500      450.0      350.0       30.0  -125.654   126.783
 case102    0.03500    0.09500      450.0      350.0       45.0  -117.380   117.914
 case103    0.03500    0.09500      450.0      350.0       60.0  -111.219   112.667
 case104    0.03500    0.09500      450.0      350.0       75.0   -87.927   117.550
 case105    0.03500    0.09500      450.0      300.0       30.0  -210.777   213.403
 case106    0.03500    0.09500      450.0      300.0       45.0  -198.360   199.457
 case107    0.03500    0.09500      450.0      300.0       60.0  -187.789   189.442
 case108    0.03500    0.09500      450.0      300.0       75.0  -173.929   187.801
 case109    0.04250    0.06250      618.0      426.0       30.0  -258.259   258.740
 case110    0.04250    0.06250      618.0      426.0       45.0  -254.564   254.606
 case111    0.04250    0.06250      618.0      426.0       60.0  -253.142   255.104
 case112    0.04250    0.06250      618.0      426.0       75.0  -244.357   265.653
 case113    0.04250    0.06250      618.0      518.0       30.0  -110.159   110.247
 case114    0.04250    0.06250      618.0      518.0       45.0  -108.871   108.875
 case115    0.04250    0.06250      618.0      518.0       60.0  -108.405   108.912
 case116    0.04250    0.06250      618.0      518.0       75.0  -105.279   112.617
 case117    0.04250    0.06250      618.0      468.0       30.0  -186.868   187.107
 case118    0.04250    0.06250      618.0      468.0       45.0  -184.402   184.419
 case119    0.04250    0.06250      618.0      468.0       60.0  -183.473   184.673
 case120    0.04250    0.06250      618.0      468.0       75.0  -177.144   192.104
 case121    0.04250    0.06250      550.0      358.0       30.0  -267.766   268.474
 case122    0.04250    0.06250      550.0      358.0       45.0  -262.705   262.949
 case123    0.04250    0.06250      550.0      358.0       60.0  -262.487   264.433
 case124    0.04250    0.06250      550.0      358.0       75.0  -254.918   274.413
 case125    0.04250    0.06250      550.0      450.0       30.0  -114.092   114.194
 case126    0.04250    0.06250      550.0      450.0       45.0  -112.700   112.707
 case127    0.04250    0.06250      550.0      450.0       60.0  -112.192   112.799
 case128    0.04250    0.06250      550.0      450.0       75.0  -108.615   117.044
 case129    0.04250    0.06250      550.0      400.0       30.0  -193.730   194.027
 case130    0.04250    0.06250      550.0      400.0       45.0  -191.085   191.108
 case131    0.04250    0.06250      550.0      400.0       60.0  -190.071   191.410
 case132    0.04250    0.06250      550.0      400.0       75.0  -184.115   198.837
 case133    0.04250    0.06250      450.0      258.0       30.0  -283.701   284.695
 case134    0.04250    0.06250      450.0      258.0       45.0  -278.060   278.286
 case135    0.04250    0.06250      450.0      258.0       60.0  -260.400   260.676
 case136    0.04250    0.06250      450.0      258.0       75.0  -260.217   263.048
 case137    0.04250    0.06250      450.0      350.0       30.0  -121.251   121.395
 case138    0.04250    0.06250      450.0      350.0       45.0  -119.702   119.712
 case139    0.04250    0.06250      450.0      350.0       60.0  -119.130   119.840
 case140    0.04250    0.06250      450.0      350.0       75.0  -107.142   111.918
 case141    0.04250    0.06250      450.0      300.0       30.0  -206.212   206.707
 case142    0.04250    0.06250      450.0      300.0       45.0  -203.164   203.206
 case143    0.04250    0.06250      450.0      300.0       60.0  -187.212   187.627
 case144    0.04250    0.06250      450.0      300.0       75.0  -185.164   190.702
 case145    0.04250    0.08250      618.0      426.0       30.0  -271.315   273.008
 case146    0.04250    0.08250      618.0      426.0       45.0  -255.205   255.797
 case147    0.04250    0.08250      618.0      426.0       60.0  -248.340   251.581
 case148    0.04250    0.08250      618.0      426.0       75.0  -231.483   260.177
 case149    0.04250    0.08250      618.0      518.0       30.0  -116.069   116.713
 case150    0.04250    0.08250      618.0      518.0       45.0  -110.814   110.947
