          r_int       r_ext       T_int       T_ext     Qconv    Qcond         Cp                 mu          nu                keff            Pr              Ra              Gr
 case38    0.04250    0.08250      618.0      518.0     108.48        0     1.04174e+03     2.92054e-05     4.82138e-05     1.14520e-01     6.93426e-01     4.75023e+04     3.29393e+04
 case39    0.04250    0.08250      618.0      468.0     183.52        0     1.03697e+03     2.83199e-05     4.41798e-05     1.29159e-01     6.94143e-01     8.87668e+04     6.16169e+04
 case40    0.04250    0.08250      550.0      358.0     267.93        0     1.02208e+03     2.49986e-05     3.14878e-05     1.47317e-01     6.99899e-01     2.67527e+05     1.87242e+05
 case41    0.04250    0.08250      550.0      450.0     114.34        0     1.02936e+03     2.67482e-05     3.76970e-05     1.20704e-01     6.96243e-01     8.82718e+04     6.14586e+04
 case42    0.04250    0.08250      550.0      400.0     193.59        0     1.02530e+03     2.58061e-05     3.42261e-05     1.36243e-01     6.98031e-01     1.69079e+05     1.18022e+05
 case43    0.04250    0.08250      450.0      258.0     287.97        0     1.00928e+03     2.09517e-05     2.06087e-05     1.58335e-01     7.14685e-01     8.00945e+05     5.72423e+05
 case44    0.04250    0.08250      450.0      350.0     123.47        0     1.01465e+03     2.28546e-05     2.51844e-05     1.30339e-01     7.06503e-01     2.47220e+05     1.74662e+05
 case45    0.04250    0.08250      450.0      300.0     208.59        0     1.01162e+03     2.18292e-05     2.26116e-05     1.46800e-01     7.10610e-01     4.90687e+05     3.48687e+05
 case46    0.04250    0.10250      618.0      426.0     270.46        0     1.03316e+03     2.75601e-05     4.09361e-05     1.97372e-01     6.95024e-01     4.64619e+05     3.22921e+05
 case47    0.04250    0.10250      618.0      518.0     115.52        0     1.04174e+03     2.92054e-05     4.82138e-05     1.61862e-01     6.93426e-01     1.60320e+05     1.11170e+05
 case48    0.04250    0.10250      618.0      468.0     195.43        0     1.03697e+03     2.83199e-05     4.41798e-05     1.82553e-01     6.94143e-01     2.99588e+05     2.07957e+05
 case49    0.04250    0.10250      550.0      358.0     285.32        0     1.02208e+03     2.49986e-05     3.14878e-05     2.08218e-01     6.99899e-01     9.02904e+05     6.31941e+05
 case50    0.04250    0.10250      550.0      450.0     121.76        0     1.02936e+03     2.67482e-05     3.76970e-05     1.70603e-01     6.96243e-01     2.97917e+05     2.07423e+05
 case51    0.04250    0.10250      550.0      400.0     206.15        0     1.02530e+03     2.58061e-05     3.42261e-05     1.92566e-01     6.98031e-01     5.70642e+05     3.98326e+05
 case52    0.04250    0.10250      450.0      258.0     306.67        0     1.00928e+03     2.09517e-05     2.06087e-05     2.23791e-01     7.14685e-01     2.70319e+06     1.93193e+06
 case53    0.04250    0.10250      450.0      350.0     131.48        0     1.01465e+03     2.28546e-05     2.51844e-05     1.84221e-01     7.06503e-01     8.34368e+05     5.89483e+05
 case54    0.04250    0.10250      450.0      300.0     222.13        0     1.01162e+03     2.18292e-05     2.26116e-05     2.07487e-01     7.10610e-01     1.65607e+06     1.17682e+06
 case55    0.05500    0.07500      618.0      426.0     275.17        0     1.03316e+03     2.75601e-05     4.09361e-05     7.07440e-02     6.95024e-01     1.72081e+04     1.19600e+04
 case56    0.05500    0.07500      618.0      518.0     117.53        0     1.04174e+03     2.92054e-05     4.82138e-05     5.80170e-02     6.93426e-01     5.93779e+03     4.11742e+03
 case57    0.05500    0.07500      618.0      468.0     198.83        0     1.03697e+03     2.83199e-05     4.41798e-05     6.54330e-02     6.94143e-01     1.10959e+04     7.70211e+03
 case58    0.05500    0.07500      550.0      358.0     290.29        0     1.02208e+03     2.49986e-05     3.14878e-05     7.46320e-02     6.99899e-01     3.34409e+04     2.34052e+04
 case59    0.05500    0.07500      550.0      450.0     123.88        0     1.02936e+03     2.67482e-05     3.76970e-05     6.11490e-02     6.96243e-01     1.10340e+04     7.68233e+03
 case60    0.05500    0.07500      550.0      400.0     209.74        0     1.02530e+03     2.58061e-05     3.42261e-05     6.90220e-02     6.98031e-01     2.11349e+04     1.47528e+04
 case61    0.05500    0.07500      450.0      258.0     312.00        0     1.00928e+03     2.09517e-05     2.06087e-05     8.02140e-02     7.14685e-01     1.00118e+05     7.15529e+04
 case62    0.05500    0.07500      450.0      350.0     133.77        0     1.01465e+03     2.28546e-05     2.51844e-05     6.60310e-02     7.06503e-01     3.09025e+04     2.18327e+04
 case63    0.05500    0.07500      450.0      300.0     225.99        0     1.01162e+03     2.18292e-05     2.26116e-05     7.43700e-02     7.10610e-01     6.13359e+04     4.35859e+04
 case64    0.05500    0.09500      618.0      426.0     297.29        0     1.03316e+03     2.75601e-05     4.09361e-05     1.34685e-01     6.95024e-01     1.37665e+05     9.56803e+04
 case65    0.05500    0.09500      618.0      518.0     126.98        0     1.04174e+03     2.92054e-05     4.82138e-05     1.10453e-01     6.93426e-01     4.75023e+04     3.29393e+04
 case66    0.05500    0.09500      618.0      468.0     214.82        0     1.03697e+03     2.83199e-05     4.41798e-05     1.24573e-01     6.94143e-01     8.87668e+04     6.16169e+04
 case67    0.05500    0.09500      550.0      358.0     313.62        0     1.02208e+03     2.49986e-05     3.14878e-05     1.42086e-01     6.99899e-01     2.67527e+05     1.87242e+05
 case68    0.05500    0.09500      550.0      450.0     133.84        0     1.02936e+03     2.67482e-05     3.76970e-05     1.16418e-01     6.96243e-01     8.82718e+04     6.14586e+04
 case69    0.05500    0.09500      550.0      400.0     226.60        0     1.02530e+03     2.58061e-05     3.42261e-05     1.31405e-01     6.98031e-01     1.69079e+05     1.18022e+05
 case70    0.05500    0.09500      450.0      258.0     337.08        0     1.00928e+03     2.09517e-05     2.06087e-05     1.52713e-01     7.14685e-01     8.00945e+05     5.72423e+05
 case71    0.05500    0.09500      450.0      350.0     144.52        0     1.01465e+03     2.28546e-05     2.51844e-05     1.25711e-01     7.06503e-01     2.47220e+05     1.74662e+05
 case72    0.05500    0.09500      450.0      300.0     244.16        0     1.01162e+03     2.18292e-05     2.26116e-05     1.41587e-01     7.10610e-01     4.90687e+05     3.48687e+05
 case73    0.05500    0.11500      618.0      426.0     315.04        0     1.03316e+03     2.75601e-05     4.09361e-05     1.92624e-01     6.95024e-01     4.64619e+05     3.22921e+05
 case74    0.05500    0.11500      618.0      518.0     134.56        0     1.04174e+03     2.92054e-05     4.82138e-05     1.57969e-01     6.93426e-01     1.60320e+05     1.11170e+05
 case75    0.05500    0.11500      618.0      468.0     227.65        0     1.03697e+03     2.83199e-05     4.41798e-05     1.78162e-01     6.94143e-01     2.99588e+05     2.07957e+05
 case76    0.05500    0.11500      550.0      358.0     332.36        0     1.02208e+03     2.49986e-05     3.14878e-05     2.03209e-01     6.99899e-01     9.02904e+05     6.31941e+05
 case77    0.05500    0.11500      550.0      450.0     141.83        0     1.02936e+03     2.67482e-05     3.76970e-05     1.66499e-01     6.96243e-01     2.97917e+05     2.07423e+05
 case78    0.05500    0.11500      550.0      400.0     240.13        0     1.02530e+03     2.58061e-05     3.42261e-05     1.87933e-01     6.98031e-01     5.70642e+05     3.98326e+05
 case79    0.05500    0.11500      450.0      258.0     357.21        0     1.00928e+03     2.09517e-05     2.06087e-05     2.18408e-01     7.14685e-01     2.70319e+06     1.93193e+06
 case80    0.05500    0.11500      450.0      350.0     153.15        0     1.01465e+03     2.28546e-05     2.51844e-05     1.79790e-01     7.06503e-01     8.34368e+05     5.89483e+05
 case81    0.05500    0.11500      450.0      300.0     258.74        0     1.01162e+03     2.18292e-05     2.26116e-05     2.02496e-01     7.10610e-01     1.65607e+06     1.17682e+06
