#run_IAM3D  n_Rays=200 ly= 1.0 N_pm=12
#  sunscatt_CSR17 
0 0.7235 0.7235
10 0.697 0.711
20 0.704 0.672
30 0.661 0.611
40 0.688 0.522
50 0.602 0.411
60 0.469 0.276
70 0.318 0.131
80 0.158 0.021
90 0.000 0.000
